127.0.0.1 - - [14/Oct/2023:13:43:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:26 +0900] "GET /sik/ HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:26 +0900] "GET /sik/resources/common/css/login.css HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:26 +0900] "GET /sik/resources/common/images/logo_dark.png HTTP/1.1" 200 19551
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:30 +0900] "POST /sik/login.do HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/js/jquery-3.7.0.min.js HTTP/1.1" 200 87464
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/images/profile.png HTTP/1.1" 200 867873
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/css/header.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/main.do HTTP/1.1" 200 28335
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/css/font.css HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/images/siklogo.png HTTP/1.1" 200 11410
0:0:0:0:0:0:0:1 - - [14/Oct/2023:13:43:31 +0900] "GET /sik/resources/common/css/font/NanumGothic-Bold.woff HTTP/1.1" 200 994320
